threshold,accuracy,f1,tn,fp,fn,tp,similarity_type,dataset,baseline_similarity,is_best_threshold
0.0,0.36,0.5294117647058824,0,64,0,36,combined_similarity,100_GT.csv,combined_similarity,0
0.01,0.37,0.5190839694656488,3,61,2,34,combined_similarity,100_GT.csv,combined_similarity,0
0.02,0.38,0.5230769230769231,4,60,2,34,combined_similarity,100_GT.csv,combined_similarity,0
0.03,0.37,0.5116279069767442,4,60,3,33,combined_similarity,100_GT.csv,combined_similarity,0
0.04,0.4,0.5161290322580645,8,56,4,32,combined_similarity,100_GT.csv,combined_similarity,0
0.05,0.4,0.5161290322580645,8,56,4,32,combined_similarity,100_GT.csv,combined_similarity,0
0.06,0.37,0.4793388429752066,8,56,7,29,combined_similarity,100_GT.csv,combined_similarity,0
0.07,0.37,0.47058823529411764,9,55,8,28,combined_similarity,100_GT.csv,combined_similarity,0
0.08,0.37,0.46153846153846156,10,54,9,27,combined_similarity,100_GT.csv,combined_similarity,0
0.09,0.37,0.45217391304347826,11,53,10,26,combined_similarity,100_GT.csv,combined_similarity,0
0.1,0.38,0.43636363636363634,14,50,12,24,combined_similarity,100_GT.csv,combined_similarity,0
0.11,0.39,0.42990654205607476,16,48,13,23,combined_similarity,100_GT.csv,combined_similarity,0
0.12,0.4,0.4,20,44,16,20,combined_similarity,100_GT.csv,combined_similarity,0
0.13,0.41,0.3917525773195876,22,42,17,19,combined_similarity,100_GT.csv,combined_similarity,0
0.14,0.42,0.3958333333333333,23,41,17,19,combined_similarity,100_GT.csv,combined_similarity,0
0.15,0.43,0.3870967741935484,25,39,18,18,combined_similarity,100_GT.csv,combined_similarity,0
0.16,0.45,0.38202247191011235,28,36,19,17,combined_similarity,100_GT.csv,combined_similarity,0
0.17,0.46,0.38636363636363635,29,35,19,17,combined_similarity,100_GT.csv,combined_similarity,0
0.18,0.46,0.35714285714285715,31,33,21,15,combined_similarity,100_GT.csv,combined_similarity,0
0.19,0.47,0.3614457831325301,32,32,21,15,combined_similarity,100_GT.csv,combined_similarity,0
