TF-IDF Cosine Similarity Baseline Report
Datasets: 100_GT.csv, 300_GT.csv
Baseline similarity: combined_similarity

Dataset: 300_GT.csv
  Threshold: 0.27
  Accuracy: 0.6600
  F1: 0.5785
  Confusion [[TN, FP], [FN, TP]]: [[128, 35], [67, 70]]
  Accuracy by threshold until best:
    th=0.00 acc=0.4567 f1=0.6270
    th=0.01 acc=0.4567 f1=0.6270
    th=0.02 acc=0.4567 f1=0.6270
    th=0.03 acc=0.4567 f1=0.6270
    th=0.04 acc=0.4567 f1=0.6270
    th=0.05 acc=0.4567 f1=0.6270
    th=0.06 acc=0.4633 f1=0.6299
    th=0.07 acc=0.4667 f1=0.6313
    th=0.08 acc=0.4700 f1=0.6311
    th=0.09 acc=0.4833 f1=0.6353
    th=0.10 acc=0.5000 f1=0.6411
    th=0.11 acc=0.5200 f1=0.6505
    th=0.12 acc=0.5367 f1=0.6534
    th=0.13 acc=0.5600 f1=0.6562
    th=0.14 acc=0.5733 f1=0.6522
    th=0.15 acc=0.6000 f1=0.6591
    th=0.16 acc=0.6100 f1=0.6549
    th=0.17 acc=0.6200 f1=0.6503
    th=0.18 acc=0.6367 f1=0.6562
    th=0.19 acc=0.6367 f1=0.6426
    th=0.20 acc=0.6333 f1=0.6259
    th=0.21 acc=0.6333 f1=0.6181
    th=0.22 acc=0.6433 f1=0.6165
    th=0.23 acc=0.6367 f1=0.5948
    th=0.24 acc=0.6467 f1=0.5985
    th=0.25 acc=0.6400 f1=0.5781
    th=0.26 acc=0.6467 f1=0.5726
    th=0.27 acc=0.6600 f1=0.5785 <= best

Dataset: 100_GT.csv
  Threshold: 0.99
  Accuracy: 0.6400
  F1: 0.0000
  Confusion [[TN, FP], [FN, TP]]: [[64, 0], [36, 0]]
  Accuracy by threshold until best:
    th=0.00 acc=0.3600 f1=0.5294
    th=0.01 acc=0.3700 f1=0.5191
    th=0.02 acc=0.3800 f1=0.5231
    th=0.03 acc=0.3700 f1=0.5116
    th=0.04 acc=0.4000 f1=0.5161
    th=0.05 acc=0.4000 f1=0.5161
    th=0.06 acc=0.3700 f1=0.4793
    th=0.07 acc=0.3700 f1=0.4706
    th=0.08 acc=0.3700 f1=0.4615
    th=0.09 acc=0.3700 f1=0.4522
    th=0.10 acc=0.3800 f1=0.4364
    th=0.11 acc=0.3900 f1=0.4299
    th=0.12 acc=0.4000 f1=0.4000
    th=0.13 acc=0.4100 f1=0.3918
    th=0.14 acc=0.4200 f1=0.3958
    th=0.15 acc=0.4300 f1=0.3871
    th=0.16 acc=0.4500 f1=0.3820
    th=0.17 acc=0.4600 f1=0.3864
    th=0.18 acc=0.4600 f1=0.3571
    th=0.19 acc=0.4700 f1=0.3614
    th=0.20 acc=0.4800 f1=0.3659
    th=0.21 acc=0.5000 f1=0.3750
    th=0.22 acc=0.4900 f1=0.3377
    th=0.23 acc=0.5100 f1=0.3099
    th=0.24 acc=0.5100 f1=0.2899
    th=0.25 acc=0.5100 f1=0.2687
    th=0.26 acc=0.5100 f1=0.2222
    th=0.27 acc=0.5100 f1=0.2222
    th=0.28 acc=0.5100 f1=0.1967
    th=0.29 acc=0.5000 f1=0.1667
    th=0.30 acc=0.5000 f1=0.1667
    th=0.31 acc=0.5100 f1=0.1404
    th=0.32 acc=0.5200 f1=0.1429
    th=0.33 acc=0.5200 f1=0.1429
    th=0.34 acc=0.5300 f1=0.1455
    th=0.35 acc=0.5300 f1=0.1455
    th=0.36 acc=0.5200 f1=0.1111
    th=0.37 acc=0.5100 f1=0.0755
    th=0.38 acc=0.5100 f1=0.0755
    th=0.39 acc=0.5100 f1=0.0755
    th=0.40 acc=0.5100 f1=0.0755
    th=0.41 acc=0.5100 f1=0.0755
    th=0.42 acc=0.5100 f1=0.0755
    th=0.43 acc=0.5200 f1=0.0769
    th=0.44 acc=0.5200 f1=0.0769
    th=0.45 acc=0.5100 f1=0.0392
    th=0.46 acc=0.5100 f1=0.0392
    th=0.47 acc=0.5300 f1=0.0408
    th=0.48 acc=0.5300 f1=0.0408
    th=0.49 acc=0.5300 f1=0.0408
    th=0.50 acc=0.5300 f1=0.0408
    th=0.51 acc=0.5300 f1=0.0408
    th=0.52 acc=0.5300 f1=0.0408
    th=0.53 acc=0.5300 f1=0.0408
    th=0.54 acc=0.5300 f1=0.0408
    th=0.55 acc=0.5300 f1=0.0408
    th=0.56 acc=0.5300 f1=0.0408
    th=0.57 acc=0.5300 f1=0.0408
    th=0.58 acc=0.5300 f1=0.0408
    th=0.59 acc=0.5300 f1=0.0408
    th=0.60 acc=0.5300 f1=0.0408
    th=0.61 acc=0.5300 f1=0.0408
    th=0.62 acc=0.5300 f1=0.0408
    th=0.63 acc=0.5300 f1=0.0408
    th=0.64 acc=0.5300 f1=0.0408
    th=0.65 acc=0.5300 f1=0.0408
    th=0.66 acc=0.5200 f1=0.0000
    th=0.67 acc=0.5200 f1=0.0000
    th=0.68 acc=0.5200 f1=0.0000
    th=0.69 acc=0.5200 f1=0.0000
    th=0.70 acc=0.5300 f1=0.0000
    th=0.71 acc=0.5300 f1=0.0000
    th=0.72 acc=0.5300 f1=0.0000
    th=0.73 acc=0.5300 f1=0.0000
    th=0.74 acc=0.5300 f1=0.0000
    th=0.75 acc=0.5300 f1=0.0000
    th=0.76 acc=0.5300 f1=0.0000
    th=0.77 acc=0.5400 f1=0.0000
    th=0.78 acc=0.5400 f1=0.0000
    th=0.79 acc=0.5400 f1=0.0000
    th=0.80 acc=0.5400 f1=0.0000
    th=0.81 acc=0.5400 f1=0.0000
    th=0.82 acc=0.5400 f1=0.0000
    th=0.83 acc=0.5400 f1=0.0000
    th=0.84 acc=0.5400 f1=0.0000
    th=0.85 acc=0.5400 f1=0.0000
    th=0.86 acc=0.5400 f1=0.0000
    th=0.87 acc=0.5400 f1=0.0000
    th=0.88 acc=0.5400 f1=0.0000
    th=0.89 acc=0.5400 f1=0.0000
    th=0.90 acc=0.5400 f1=0.0000
    th=0.91 acc=0.5400 f1=0.0000
    th=0.92 acc=0.5400 f1=0.0000
    th=0.93 acc=0.5500 f1=0.0000
    th=0.94 acc=0.5500 f1=0.0000
    th=0.95 acc=0.5600 f1=0.0000
    th=0.96 acc=0.5800 f1=0.0000
    th=0.97 acc=0.6000 f1=0.0000
    th=0.98 acc=0.6200 f1=0.0000
    th=0.99 acc=0.6400 f1=0.0000 <= best
