threshold,accuracy,f1,tn,fp,fn,tp,similarity_type
0.0,0.45666666666666667,0.6270022883295194,0,163,0,137,feature_similarity
0.01,0.45666666666666667,0.6270022883295194,0,163,0,137,feature_similarity
0.02,0.45666666666666667,0.6270022883295194,0,163,0,137,feature_similarity
0.03,0.45666666666666667,0.6270022883295194,0,163,0,137,feature_similarity
0.04,0.45666666666666667,0.6270022883295194,0,163,0,137,feature_similarity
0.05,0.45666666666666667,0.6270022883295194,0,163,0,137,feature_similarity
0.06,0.45666666666666667,0.6270022883295194,0,163,0,137,feature_similarity
0.07,0.45666666666666667,0.6270022883295194,0,163,0,137,feature_similarity
0.08,0.45666666666666667,0.6270022883295194,0,163,0,137,feature_similarity
0.09,0.45666666666666667,0.6270022883295194,0,163,0,137,feature_similarity
0.1,0.45666666666666667,0.6270022883295194,0,163,0,137,feature_similarity
0.11,0.45666666666666667,0.6270022883295194,0,163,0,137,feature_similarity
0.12,0.45666666666666667,0.6270022883295194,0,163,0,137,feature_similarity
0.13,0.45666666666666667,0.6270022883295194,0,163,0,137,feature_similarity
0.14,0.45666666666666667,0.6270022883295194,0,163,0,137,feature_similarity
0.15,0.45666666666666667,0.6270022883295194,0,163,0,137,feature_similarity
0.16,0.45666666666666667,0.6270022883295194,0,163,0,137,feature_similarity
0.17,0.45666666666666667,0.6270022883295194,0,163,0,137,feature_similarity
0.18,0.45666666666666667,0.6270022883295194,0,163,0,137,feature_similarity
0.19,0.45666666666666667,0.6270022883295194,0,163,0,137,feature_similarity
0.2,0.45666666666666667,0.6270022883295194,0,163,0,137,feature_similarity
0.21,0.45666666666666667,0.6270022883295194,0,163,0,137,feature_similarity
0.22,0.45666666666666667,0.6270022883295194,0,163,0,137,feature_similarity
0.23,0.46,0.6284403669724771,1,162,0,137,feature_similarity
0.24,0.46,0.6284403669724771,1,162,0,137,feature_similarity
0.25,0.46,0.6284403669724771,1,162,0,137,feature_similarity
0.26,0.46,0.6284403669724771,1,162,0,137,feature_similarity
0.27,0.47333333333333333,0.6291079812206573,8,155,3,134,feature_similarity
0.28,0.47333333333333333,0.6291079812206573,8,155,3,134,feature_similarity
0.29,0.47333333333333333,0.6291079812206573,8,155,3,134,feature_similarity
0.3,0.4666666666666667,0.6226415094339622,8,155,5,132,feature_similarity
0.31,0.4666666666666667,0.6226415094339622,8,155,5,132,feature_similarity
0.32,0.4666666666666667,0.6226415094339622,8,155,5,132,feature_similarity
0.33,0.4666666666666667,0.6226415094339622,8,155,5,132,feature_similarity
0.34,0.53,0.6412213740458015,33,130,11,126,feature_similarity
0.35,0.53,0.6412213740458015,33,130,11,126,feature_similarity
0.36,0.53,0.6412213740458015,33,130,11,126,feature_similarity
0.37,0.53,0.6412213740458015,33,130,11,126,feature_similarity
0.38,0.5633333333333334,0.6543535620052771,45,118,13,124,feature_similarity
0.39,0.5633333333333334,0.6543535620052771,45,118,13,124,feature_similarity
0.4,0.5633333333333334,0.6543535620052771,45,118,13,124,feature_similarity
0.41,0.5633333333333334,0.6543535620052771,45,118,13,124,feature_similarity
0.42,0.5866666666666667,0.6630434782608695,54,109,15,122,feature_similarity
0.43,0.5866666666666667,0.6630434782608695,54,109,15,122,feature_similarity
0.44,0.5833333333333334,0.6575342465753424,55,108,17,120,feature_similarity
0.45,0.6933333333333334,0.7051282051282052,98,65,27,110,feature_similarity
0.46,0.6966666666666667,0.7035830618892508,101,62,29,108,feature_similarity
0.47,0.6966666666666667,0.7035830618892508,101,62,29,108,feature_similarity
0.48,0.6966666666666667,0.7035830618892508,101,62,29,108,feature_similarity
0.49,0.6966666666666667,0.7035830618892508,101,62,29,108,feature_similarity
0.5,0.6966666666666667,0.7035830618892508,101,62,29,108,feature_similarity
0.51,0.7,0.7,105,58,32,105,feature_similarity
0.52,0.7,0.6959459459459459,107,56,34,103,feature_similarity
0.53,0.7,0.6959459459459459,107,56,34,103,feature_similarity
0.54,0.7,0.6959459459459459,107,56,34,103,feature_similarity
0.55,0.7,0.6959459459459459,107,56,34,103,feature_similarity
0.56,0.7,0.6959459459459459,107,56,34,103,feature_similarity
0.57,0.7,0.6959459459459459,107,56,34,103,feature_similarity
0.58,0.7833333333333333,0.7085201793721974,156,7,58,79,feature_similarity
0.59,0.78,0.7027027027027027,156,7,59,78,feature_similarity
0.6,0.78,0.7027027027027027,156,7,59,78,feature_similarity
0.61,0.79,0.7096774193548387,160,3,60,77,feature_similarity
0.62,0.79,0.7096774193548387,160,3,60,77,feature_similarity
0.63,0.79,0.7096774193548387,160,3,60,77,feature_similarity
0.64,0.79,0.7096774193548387,160,3,60,77,feature_similarity
0.65,0.79,0.7096774193548387,160,3,60,77,feature_similarity
0.66,0.78,0.6915887850467289,160,3,63,74,feature_similarity
0.67,0.7766666666666666,0.6824644549763034,161,2,65,72,feature_similarity
0.68,0.7766666666666666,0.6824644549763034,161,2,65,72,feature_similarity
0.69,0.7766666666666666,0.6824644549763034,161,2,65,72,feature_similarity
0.7,0.7766666666666666,0.6824644549763034,161,2,65,72,feature_similarity
0.71,0.7633333333333333,0.6570048309178744,161,2,69,68,feature_similarity
0.72,0.7633333333333333,0.6570048309178744,161,2,69,68,feature_similarity
0.73,0.7633333333333333,0.6570048309178744,161,2,69,68,feature_similarity
0.74,0.7633333333333333,0.6570048309178744,161,2,69,68,feature_similarity
0.75,0.7633333333333333,0.6570048309178744,161,2,69,68,feature_similarity
0.76,0.7633333333333333,0.6570048309178744,161,2,69,68,feature_similarity
0.77,0.7633333333333333,0.6570048309178744,161,2,69,68,feature_similarity
0.78,0.7633333333333333,0.6570048309178744,161,2,69,68,feature_similarity
0.79,0.7633333333333333,0.6570048309178744,161,2,69,68,feature_similarity
0.8,0.7633333333333333,0.6570048309178744,161,2,69,68,feature_similarity
0.81,0.7633333333333333,0.6570048309178744,161,2,69,68,feature_similarity
0.82,0.7633333333333333,0.6570048309178744,161,2,69,68,feature_similarity
0.83,0.7633333333333333,0.6570048309178744,161,2,69,68,feature_similarity
0.84,0.7633333333333333,0.6570048309178744,161,2,69,68,feature_similarity
0.85,0.7633333333333333,0.6570048309178744,161,2,69,68,feature_similarity
0.86,0.7633333333333333,0.6570048309178744,161,2,69,68,feature_similarity
0.87,0.7633333333333333,0.6570048309178744,161,2,69,68,feature_similarity
0.88,0.7633333333333333,0.6570048309178744,161,2,69,68,feature_similarity
0.89,0.7633333333333333,0.6570048309178744,161,2,69,68,feature_similarity
0.9,0.7633333333333333,0.6570048309178744,161,2,69,68,feature_similarity
0.91,0.7633333333333333,0.6570048309178744,161,2,69,68,feature_similarity
0.92,0.7633333333333333,0.6570048309178744,161,2,69,68,feature_similarity
0.93,0.7633333333333333,0.6570048309178744,161,2,69,68,feature_similarity
0.94,0.7633333333333333,0.6570048309178744,161,2,69,68,feature_similarity
0.95,0.7633333333333333,0.6570048309178744,161,2,69,68,feature_similarity
0.96,0.7633333333333333,0.6570048309178744,161,2,69,68,feature_similarity
0.97,0.7633333333333333,0.6570048309178744,161,2,69,68,feature_similarity
0.98,0.7633333333333333,0.6570048309178744,161,2,69,68,feature_similarity
0.99,0.7633333333333333,0.6570048309178744,161,2,69,68,feature_similarity
1.0,0.7633333333333333,0.6570048309178744,161,2,69,68,feature_similarity
0.0,0.45666666666666667,0.6270022883295194,0,163,0,137,review_similarity
0.01,0.45666666666666667,0.6270022883295194,0,163,0,137,review_similarity
0.02,0.4633333333333333,0.6298850574712643,2,161,0,137,review_similarity
0.03,0.48,0.6372093023255814,7,156,0,137,review_similarity
0.04,0.5,0.6394230769230769,17,146,4,133,review_similarity
0.05,0.5266666666666666,0.6414141414141414,31,132,10,127,review_similarity
0.06,0.5333333333333333,0.6276595744680851,42,121,19,118,review_similarity
0.07,0.56,0.6353591160220995,53,110,22,115,review_similarity
0.08,0.5766666666666667,0.6340057636887608,63,100,27,110,review_similarity
0.09,0.6,0.6385542168674698,74,89,31,106,review_similarity
0.1,0.5866666666666667,0.6125,78,85,39,98,review_similarity
